Volcano Number,Volcano Name,Eruption Number,Eruption Category,Start Year,Start Month,Start Day,End Year,End Month,End Day,Latitude,Longitude,,,,,,,,
282110,Asosan,20960,Confirmed Eruption,2014,8,30,2016,5,1,32.884,131.104,,,,,,,,
373030,Bardarbunga,20955,Confirmed Eruption,2014,8,29,2015,2,27,64.633,-17.516,,,,,,,,
342110,Pacaya,22222,Confirmed Eruption,2014,8,25,2015,2,17,14.382,-90.601,,,,,,,,
273030,Mayon,20959,Confirmed Eruption,2014,8,12,2014,10,19,13.257,123.685,,,,,,,,
282050,Kuchinoerabujima,20952,Confirmed Eruption,2014,8,3,2014,8,3,30.443,130.217,,,,,,,,
344020,San Cristobal,22267,Confirmed Eruption,2014,7,20,2014,10,1,12.702,-87.004,,,,,,,,
252140,Rabaul,20957,Confirmed Eruption,2014,7,7,2014,9,18,-4.271,152.203,,,,,,,,
357090,Copahue,20954,Confirmed Eruption,2014,7,4,2014,12,2,-37.856,-71.183,,,,,,,,
251020,Manam,20956,Confirmed Eruption,2014,6,29,2021,12,9,-4.08,145.037,,,,,,,,
233020,"Fournaise, Piton de la",20919,Confirmed Eruption,2014,6,21,2014,6,21,-21.244,55.708,,,,,,,,
267020,Karangetang,20914,Confirmed Eruption,2014,6,8,2016,3,15,2.781,125.407,,,,,,,,
300120,Zhupanovsky,20908,Confirmed Eruption,2014,6,6,2016,3,24,53.589,159.15,,,,,,,,
312030,Pavlof,20909,Confirmed Eruption,2014,5,31,2014,6,2,55.417,-161.894,,,,,,,,
264050,Sangeang Api,20911,Confirmed Eruption,2014,5,30,2015,11,5,-8.2,119.07,,,,,,,,
